time,ant_id,from_role,to_role,reason,x,y
913,87,forager,transporter,food_detected,239.9729584213268,236.51146154048084
1168,54,forager,follower,pheromone_sensed,219.26560457370408,188.78160440106186
1190,69,forager,follower,pheromone_sensed,174.7473266956765,161.57409811569715
1209,30,forager,follower,pheromone_sensed,195.24597620026245,184.5939157833945
1209,53,forager,follower,pheromone_sensed,183.02798795464562,162.04962761459066
1236,97,forager,follower,pheromone_sensed,195.90498141240946,181.79875222487448
1261,54,follower,transporter,food_reached_from_trail,239.85514349138703,236.6421498788162
1281,86,forager,follower,pheromone_sensed,151.702764446463,140.1792947907202
1339,92,forager,follower,pheromone_sensed,141.71799014474345,135.9111539267588
1349,33,forager,follower,pheromone_sensed,128.33844187862545,139.71170191269383
1351,16,forager,follower,pheromone_sensed,164.6896454830909,152.60447188805782
1378,4,forager,follower,pheromone_sensed,112.89826096464128,131.84205857843645
1392,39,forager,follower,pheromone_sensed,103.2533228668251,123.63972959932686
1398,8,forager,follower,pheromone_sensed,107.87671376290295,128.43283961425146
1398,30,follower,transporter,food_reached_from_trail,239.16875741150454,236.82611905052119
1421,12,forager,follower,pheromone_sensed,159.2060142073214,148.47581236639866
1426,97,follower,transporter,food_reached_from_trail,239.0299327520163,236.5604170326823
1435,69,follower,transporter,food_reached_from_trail,238.79232433150224,236.69235986777264
1444,60,forager,follower,pheromone_sensed,95.2980846248818,112.08812922985022
1445,53,follower,transporter,food_reached_from_trail,239.13744580579424,236.92007654640594
1453,59,forager,follower,pheromone_sensed,153.12751935062207,143.65933708466278
1453,62,forager,follower,pheromone_sensed,94.88293812860238,114.35526127210089
1476,1,forager,follower,pheromone_sensed,127.8987797990686,137.44468579414755
1482,23,forager,follower,pheromone_sensed,78.70297504811914,114.38963742343536
1498,45,forager,follower,pheromone_sensed,142.37302350615155,136.1970588488646
1502,94,forager,follower,pheromone_sensed,74.54368710791337,110.13574768318172
1506,41,forager,follower,pheromone_sensed,75.6273524097494,109.02979594536725
1513,67,forager,follower,pheromone_sensed,139.22117721607307,135.87788953440668
1540,63,forager,follower,pheromone_sensed,231.2153146686404,222.4146270562787
1551,66,forager,follower,pheromone_sensed,95.2487101950224,112.48146806088268
1560,55,forager,follower,pheromone_sensed,76.22394398646844,111.54686204747257
1561,37,forager,follower,pheromone_sensed,73.71536053054449,109.70931902514317
1565,36,forager,follower,pheromone_sensed,104.84358314583407,126.87055766463416
1568,86,follower,transporter,food_reached_from_trail,239.12334864698113,236.60015492181688
1569,63,follower,transporter,food_reached_from_trail,239.92081959317886,236.60979770540916
1571,0,forager,follower,pheromone_sensed,56.14323126486518,100.8027377233851
1571,31,forager,follower,pheromone_sensed,97.07948163568791,118.77533988038816
1573,18,forager,follower,pheromone_sensed,74.37184392155837,110.28946271824003
1583,87,transporter,follower,food_deposited_at_nest,88.42185886161441,87.59039145357382
1584,34,forager,follower,pheromone_sensed,84.36421178510255,88.52389406451316
1588,81,forager,follower,pheromone_sensed,78.33057697867326,87.20073961146785
1596,5,forager,follower,pheromone_sensed,88.68435189662743,112.24242877158257
1612,75,forager,follower,pheromone_sensed,214.46023840562785,144.21707876325436
1617,16,follower,transporter,food_reached_from_trail,239.5679890672331,236.6462473959462
1621,73,forager,follower,pheromone_sensed,190.22343849571732,100.320150614715
1628,90,forager,follower,pheromone_sensed,95.65188300666884,120.43562621821364
1634,68,forager,follower,pheromone_sensed,152.10301715191162,121.09136939890786
1661,92,follower,transporter,food_reached_from_trail,239.83112142983956,236.853086386884
1666,76,forager,follower,pheromone_sensed,154.58570098859732,128.05551513642035
1670,33,follower,transporter,food_reached_from_trail,239.82061796949748,236.51618857679395
1684,21,forager,follower,pheromone_sensed,82.29677929271972,87.27340018390544
1684,98,forager,follower,pheromone_sensed,118.94449242352044,135.3791092961826
1696,7,forager,follower,pheromone_sensed,151.53598475504123,143.50665451959318
1698,12,follower,transporter,food_reached_from_trail,239.98984491979604,236.95183303513173
1726,93,forager,follower,pheromone_sensed,165.8256342878823,227.5135567751401
1742,59,follower,transporter,food_reached_from_trail,239.56075906262225,236.66748527798455
1743,57,forager,follower,pheromone_sensed,56.349409032438594,102.06620280259673
