ant_id,start_time,end_time,length,censored
0,1574,1574,1,False
0,1638,1638,1,False
0,1650,1650,1,False
0,1671,1671,1,False
0,1673,1673,1,False
0,1678,1678,1,False
0,1680,1680,1,False
0,1683,1687,5,False
0,1690,1812,123,False
0,1878,1878,1,False
1,1478,1480,3,False
1,1486,1486,1,False
1,1489,1494,6,False
1,1496,1506,11,False
1,1531,1532,2,False
1,1535,1535,1,False
1,1595,1596,2,False
1,1600,1602,3,False
1,1605,1614,10,False
1,1625,1625,1,False
2,2270,2271,2,False
2,2273,2273,1,False
2,2295,2295,1,False
2,2297,2297,1,False
2,2300,2315,16,False
2,2335,2336,2,False
2,2345,2345,1,False
2,2348,2349,2,False
2,2352,2352,1,False
2,2355,2355,1,False
3,1822,1824,3,False
3,1831,1832,2,False
3,1836,1836,1,False
3,1899,1900,2,False
3,1949,1979,31,False
3,2013,2013,1,False
3,2016,2016,1,False
3,2047,2047,1,False
3,2062,2092,31,False
3,2094,2094,1,False
3,2098,2101,4,False
3,2111,2111,1,False
3,2115,2115,1,False
3,2125,2126,2,False
3,2130,2130,1,False
3,2138,2138,1,False
3,2166,2166,1,False
3,2168,2176,9,False
3,2178,2179,2,False
3,2184,2184,1,False
3,2187,2188,2,False
3,2198,2220,23,False
3,2222,2222,1,False
3,2291,2298,8,False
3,2301,2301,1,False
3,2303,2311,9,False
3,2349,2351,3,False
3,2366,2366,1,False
4,1427,1427,1,False
4,1430,1431,2,False
4,1519,1523,5,False
4,1528,1529,2,False
4,1534,1543,10,False
4,1549,1549,1,False
4,1552,1552,1,False
4,1558,1558,1,False
5,1673,1673,1,False
5,1679,1808,130,False
6,2190,2194,5,False
6,2203,2203,1,False
6,2222,2222,1,False
6,2229,2229,1,False
7,1769,1769,1,False
7,1772,1772,1,False
7,1779,1779,1,False
7,1790,1790,1,False
8,1432,1432,1,False
8,1434,1489,56,False
8,1493,1493,1,False
8,1496,1496,1,False
8,1499,1499,1,False
8,1510,1510,1,False
8,1512,1513,2,False
8,1515,1515,1,False
8,1519,1519,1,False
8,1521,1521,1,False
8,1524,1524,1,False
8,1538,1541,4,False
8,1547,1548,2,False
8,1553,1561,9,False
9,2230,2256,27,False
9,2264,2273,10,False
9,2313,2313,1,False
9,2350,2350,1,False
9,2377,2378,2,False
9,2380,2382,3,False
9,2390,2390,1,False
10,2486,2486,1,False
10,2512,2513,2,False
10,2585,2589,5,False
10,2676,2676,1,False
10,2678,2686,9,False
10,2688,2689,2,False
10,2695,2695,1,False
10,2703,2703,1,False
10,2738,2739,2,False
10,2743,2754,12,False
10,2811,2811,1,False
10,2821,2825,5,False
10,2830,2830,1,False
10,2834,2862,29,False
11,2089,2089,1,False
11,2091,2095,5,False
11,2190,2190,1,False
11,2192,2193,2,False
11,2196,2342,147,False
11,2371,2371,1,False
11,2373,2373,1,False
11,2377,2377,1,False
11,2397,2397,1,False
11,2439,2442,4,False
11,2516,2516,1,False
11,2529,2529,1,False
12,1468,1469,2,False
12,1471,1484,14,False
12,1487,1488,2,False
12,1491,1491,1,False
12,1545,1549,5,False
13,3010,3064,55,False
13,3097,3097,1,False
13,3103,3103,1,False
13,3123,3124,2,False
13,3128,3132,5,False
13,3147,3147,1,False
13,3151,3155,5,False
13,3167,3168,2,False
13,3172,3176,5,False
13,3189,3189,1,False
13,3193,3197,5,False
13,3209,3210,2,False
13,3214,3218,5,False
13,3233,3233,1,False
13,3237,3241,5,False
13,3253,3254,2,False
13,3258,3262,5,False
13,3277,3277,1,False
13,3281,3285,5,False
13,3297,3298,2,False
13,3302,3306,5,False
13,3321,3321,1,False
13,3325,3329,5,False
13,3341,3342,2,False
13,3346,3350,5,False
13,3365,3365,1,False
13,3369,3373,5,False
13,3385,3386,2,False
13,3390,3394,5,False
13,3409,3409,1,False
13,3413,3417,5,False
13,3429,3430,2,False
13,3434,3438,5,False
13,3453,3453,1,False
13,3457,3461,5,False
13,3473,3474,2,False
13,3478,3482,5,False
13,3497,3497,1,False
13,3501,3505,5,False
13,3517,3518,2,False
13,3522,3526,5,False
13,3541,3541,1,False
13,3545,3549,5,False
13,3561,3562,2,False
13,3566,3570,5,False
13,3585,3585,1,False
13,3589,3593,5,False
13,3605,3606,2,False
13,3610,3614,5,False
13,3629,3629,1,False
13,3633,3637,5,False
13,3649,3650,2,False
13,3654,3658,5,False
13,3673,3673,1,False
13,3677,3681,5,False
13,3693,3694,2,False
13,3698,3702,5,False
13,3717,3717,1,False
13,3721,3725,5,False
13,3737,3738,2,False
13,3742,3746,5,False
13,3761,3761,1,False
13,3765,3769,5,False
13,3781,3782,2,False
13,3787,3789,3,False
13,3808,3808,1,False
13,3836,3836,1,False
13,3838,3842,5,False
13,3846,3846,1,False
13,3854,3855,2,False
13,3859,3859,1,False
13,3861,3861,1,False
13,3909,3910,2,False
13,3913,3918,6,False
13,3931,3932,2,False
13,3959,3960,2,False
13,3986,3988,3,False
13,4016,4016,1,False
13,4073,4073,1,False
13,4115,4115,1,False
13,4171,4171,1,False
