leg_id,ant_id,source_role,transport_start_time,departure_x,departure_y,outbound_sample_count,outbound_path_length,outbound_endpoint_distance,outbound_path_efficiency,memory_waypoint_count,memory_path_length,nest_food_straight_distance,outbound_max_axis_distance,actual_return_distance,distance_increasing_steps,status,delivery_time,transport_time_steps,actual_return_endpoint_distance,actual_return_path_efficiency,site_axis_distance_over_actual_return,memory_to_outbound_length_ratio,memory_shortening_fraction,actual_to_memory_length_ratio,return_max_axis_distance,return_p90_axis_distance,distance_increasing_step_fraction,repeated_return_cell_fraction,anomalously_long_vs_site_axis,possible_looping,far_from_main_axis
1,87,forager,913,239.9729584213268,236.51146154048084,914,547.7999999999998,209.66043169938578,0.38273171175499426,306,526.3508720749942,212.13203435596427,35.595881585462394,402.00000000000387,130,completed_delivery,1583.0,670,212.47404757660954,0.5285424069069838,0.5276916277511499,0.9608449654527096,0.03915503454729041,0.7637490908207845,32.9600894896582,24.41951725146452,0.19402985074626866,0.05663189269746649,True,False,True
2,54,follower,1261,239.85514349138703,236.6421498788162,1262,756.5999999999992,209.66755626921727,0.277118102391247,422,729.0041735955249,212.13203435596427,125.8698535679236,726.0000000000161,379,completed_delivery,2471.0,1210,207.9622181504296,0.28644933629535124,0.29219288478782307,0.963526531318432,0.03647346868156798,0.9958790721585422,125.77533084594727,108.414881809359,0.31322314049586775,0.05284888521882747,True,False,True
3,30,follower,1398,239.16875741150454,236.82611905052119,1399,838.7999999999997,209.30653937020247,0.24953092438030822,467,809.3967515963553,212.13203435596427,69.87845996484855,806.4000000000191,441,completed_delivery,2742.0,1344,206.314904614645,0.2558468559209327,0.263060558477132,0.9649460557896467,0.03505394421035335,0.9962975492668759,69.63819086590078,50.16053741152188,0.328125,0.05501858736059484,True,False,True
4,97,follower,1426,239.0299327520163,236.5604170326823,1427,855.2236974706345,209.02123503812774,0.24440533588617594,477,825.6411476114524,212.13203435596427,93.54784279407863,822.6000000000198,518,completed_delivery,2797.0,1371,207.01867769352896,0.2516638435369851,0.2578799347872103,0.9654095765275519,0.03459042347244812,0.9963166230023413,93.51783217618475,69.11219965871246,0.37782640408460977,0.06778425655976672,True,False,True
5,69,follower,1435,238.79232433150224,236.69235986777264,1436,860.9999999999995,208.944500342907,0.2426765393065123,480,830.3024360740179,212.13203435596427,64.89447510225975,539.400000000009,240,completed_delivery,2334.0,899,206.1394013649948,0.3821642591119603,0.39327407185013113,0.9643466156492664,0.03565338435073362,0.6496428007010252,64.69290677099268,42.607882552061135,0.26696329254727474,0.061111111111111116,True,False,True
6,53,follower,1445,239.13744580579424,236.92007654640594,1446,866.9999999999994,209.35015317376292,0.24146499789361367,483,836.5217195087369,212.13203435596427,65.92229834712293,833.4000000000201,488,completed_delivery,2834.0,1389,206.6305929349712,0.2479368765718337,0.2545380781808965,0.9648462739431803,0.035153726056819656,0.9962682146369731,65.7612158704232,50.7260109168855,0.3513318934485241,0.06330935251798564,True,False,True
7,86,follower,1568,239.12334864698113,236.60015492181688,1569,940.7999999999996,209.1157060930379,0.22227434746283797,524,910.8697278691116,212.13203435596427,79.83686846439801,908.400000000023,574,completed_delivery,3082.0,1514,209.4025534599569,0.2305180024878375,0.23352271505499655,0.9681863604050934,0.03181363959490657,0.9972886047329005,79.64877169423711,60.73549499385115,0.37912813738441214,0.06996699669966999,True,False,True
8,63,follower,1569,239.92081959317886,236.60979770540916,1570,941.308604563417,209.69188093655765,0.22276634880418802,524,904.8222964833641,212.13203435596427,148.3653736010574,901.8000000000227,506,completed_delivery,3072.0,1503,207.11616359915743,0.22966973120331804,0.23523179680190612,0.9612387394493483,0.038761260550651655,0.9966597899995527,148.1800146726288,130.5560269821797,0.3366600133067199,0.05452127659574468,True,False,True
9,16,follower,1617,239.5679890672331,236.6462473959462,1618,970.2000000000003,209.46528406618845,0.21589907654729787,540,936.1127388911539,212.13203435596427,96.82903574573233,933.600000000024,604,completed_delivery,3173.0,1556,207.47287259021897,0.22222886952679266,0.22721940269490018,0.9648657378799769,0.03513426212002313,0.9973157732111345,96.6889018358513,81.67613777652002,0.38817480719794345,0.05780346820809246,True,False,True
10,92,follower,1661,239.83112142983956,236.853086386884,1662,996.5629029608847,209.79798361823438,0.21052156667171165,555,964.019321155963,212.13203435596427,93.11025218797695,961.2000000000249,598,completed_delivery,3263.0,1602,212.55498355593735,0.2211350224260631,0.22069500037032747,0.9673441769624059,0.03265582303759407,0.9970754516075908,92.9188257749194,78.47648738030857,0.3732833957553059,0.051777916406737345,True,False,True
