time,ant_id,from_role,to_role,reason,x,y
49,9,forager,transporter,food_detected,29.928190285993445,28.949873418044223
79,5,forager,follower,pheromone_sensed,28.2330561535449,21.8686570070012
91,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
93,5,follower,transporter,food_reached_from_trail,30.134585607184263,28.65945119627459
109,7,forager,follower,pheromone_sensed,30.30626739471278,28.817456232291228
110,7,follower,transporter,food_reached_from_trail,29.81554663514835,29.16269982185157
116,3,forager,follower,pheromone_sensed,21.11197657909982,18.835353664852963
123,9,follower,transporter,food_reached_from_trail,29.385648513202376,24.44488550608185
135,3,follower,transporter,food_reached_from_trail,29.987739009462874,25.072164575967015
147,8,forager,follower,pheromone_sensed,19.58379764703592,10.454087508678105
155,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
161,6,forager,follower,pheromone_sensed,23.29175407474834,15.465625534558088
173,4,forager,follower,pheromone_sensed,9.574373779849054,4.106886427185593
177,5,transporter,follower,food_deposited_at_nest,11.073135889000238,9.392565688475004
183,0,forager,follower,pheromone_sensed,23.088482124744164,11.942555793487204
185,9,follower,transporter,food_reached_from_trail,28.551109133636867,23.882328209991236
186,1,forager,follower,pheromone_sensed,30.321865945917068,22.699265528594943
188,8,follower,transporter,food_reached_from_trail,29.898947194259158,29.12397687783538
192,6,follower,transporter,food_reached_from_trail,29.66397898923979,28.639483155365948
200,1,follower,transporter,food_reached_from_trail,29.454469366659822,29.54698571869197
203,2,forager,follower,pheromone_sensed,16.626990458904373,20.252668989104002
207,3,transporter,follower,food_deposited_at_nest,13.274965671617911,9.928912905809394
210,7,transporter,follower,food_deposited_at_nest,13.44937187959045,13.984871016334482
215,0,follower,transporter,food_reached_from_trail,30.46914966184949,27.629186855005315
215,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
236,4,follower,transporter,food_reached_from_trail,29.39564045846559,24.32795477090437
244,9,follower,transporter,food_reached_from_trail,28.093322554406615,23.602601371299453
256,2,follower,transporter,food_reached_from_trail,28.97565963089104,29.689051644431682
257,3,follower,transporter,food_reached_from_trail,29.7832453730074,24.82139391792421
260,5,follower,transporter,food_reached_from_trail,29.63848393180179,29.251560093438375
273,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
274,7,follower,transporter,food_reached_from_trail,28.476182280890047,29.95876137197454
302,9,follower,transporter,food_reached_from_trail,28.043513019392854,23.663451254627667
304,3,transporter,follower,food_deposited_at_nest,13.492061710398492,9.445194056986743
325,6,transporter,follower,food_deposited_at_nest,14.434341646038211,11.451099017825738
