time,sensing_steps,hit_count,miss_rate,mean_candidate_cell_count,mean_hit_axis_error_deg,mean_local_continuity_axis_change_deg
1169,1,1,0.0,2.0,44.99999999999999,
1170,1,1,0.0,1.0,44.99999999999999,0.0
1171,1,0,1.0,0.0,,
1172,1,0,1.0,0.0,,
1173,1,0,1.0,0.0,,
1174,1,0,1.0,0.0,,
1175,1,0,1.0,0.0,,
1176,1,0,1.0,0.0,,
1177,1,0,1.0,0.0,,
1178,1,0,1.0,0.0,,
1179,1,0,1.0,0.0,,
1180,1,0,1.0,0.0,,
1181,1,0,1.0,0.0,,
1182,1,0,1.0,0.0,,
1183,1,0,1.0,0.0,,
1184,1,0,1.0,0.0,,
1185,1,0,1.0,0.0,,
1186,1,0,1.0,0.0,,
1187,1,0,1.0,0.0,,
1188,1,0,1.0,0.0,,
1189,1,0,1.0,0.0,,
1190,1,0,1.0,0.0,,
1191,2,1,0.5,1.0,7.016709298534876e-15,
1192,2,1,0.5,1.0,45.00000000000001,45.0
1193,2,1,0.5,2.0,9.089830389629579e-13,45.00000000000092
1194,2,1,0.5,1.5,2.704127079179597e-12,3.613110118142555e-12
1195,2,1,0.5,1.5,2.704127079179597e-12,0.0
1196,2,1,0.5,2.0,7.703498328497789e-13,1.933777246329818e-12
1197,2,1,0.5,1.0,44.99999999999999,45.00000000000076
1198,2,1,0.5,1.0,7.016709298534876e-15,45.0
1199,2,1,0.5,1.5,16.84503376299063,16.84503376299064
1200,2,1,0.5,2.0,13.282525588539801,3.56250817445083
1201,2,1,0.5,1.5,7.016709298534876e-15,13.28252558853981
1202,2,2,0.0,2.5,30.92251688149495,16.845033762989903
1203,2,2,0.0,1.5,45.0,14.077483118505047
1204,2,1,0.5,1.0,1.355571894239066e-12,45.00000000000135
1205,2,1,0.5,1.5,44.99999999999999,45.00000000000135
1206,2,1,0.5,1.0,44.99999999999999,0.0
1207,2,1,0.5,0.5,44.99999999999999,0.0
1208,2,0,1.0,0.0,,
1209,2,0,1.0,0.0,,
1210,4,2,0.5,1.25,45.0,
1211,4,2,0.5,1.25,22.50000000000068,22.500000000000675
1212,4,2,0.5,1.25,45.0,22.500000000000675
1213,4,2,0.5,1.5,45.0,0.0
1214,4,2,0.5,1.25,45.0,0.0
1215,4,2,0.5,1.0,30.922516881495316,14.077483118504679
1216,4,1,0.75,0.5,44.99999999999999,28.154966237009358
1217,4,1,0.75,0.75,44.99999999999999,0.0
1218,4,1,0.75,0.5,44.99999999999999,0.0
1219,4,1,0.75,0.25,44.99999999999999,0.0
1220,4,0,1.0,0.0,,
1221,4,1,0.75,0.25,44.99999999999999,
1222,4,1,0.75,0.5,44.99999999999999,0.0
1223,4,1,0.75,0.75,16.845033762989893,28.154966237010093
1224,4,1,0.75,0.75,16.845033762989882,33.69006752597978
1225,4,1,0.75,0.75,16.845033762988635,1.2467774351336986e-12
1226,4,1,0.75,1.0,5.309827638077508,22.154861401066142
1227,4,1,0.75,0.75,2.704127079179597e-12,5.309827638080212
1228,4,1,0.75,0.75,16.84503376299062,16.845033762987917
1229,4,1,0.75,0.75,16.845033762989893,33.69006752598052
1230,4,1,0.75,0.75,16.845033762989893,0.0
1231,4,1,0.75,0.75,16.84503376299063,7.378886860995359e-13
1232,4,1,0.75,0.75,2.7155380980342356e-12,16.845033762987917
