time,forager_count,forager_phi,forager_psi,forager_sufficient,transporter_count,transporter_phi,transporter_psi,transporter_sufficient,follower_count,follower_phi,follower_psi,follower_sufficient
0,100,-0.14390608285249507,0.6475343194678502,True,0,,,False,0,,,False
1,100,-0.0815829745267937,0.6879424678269049,True,0,,,False,0,,,False
2,100,0.001991433757991781,0.6419992260296333,True,0,,,False,0,,,False
3,100,-0.036692854407251764,0.6795671833483776,True,0,,,False,0,,,False
4,100,0.003439814220156864,0.677589631680916,True,0,,,False,0,,,False
5,100,-0.05050485490473293,0.6812620598167674,True,0,,,False,0,,,False
6,100,-0.01356829842572182,0.6637383061366329,True,0,,,False,0,,,False
7,100,0.04082075290369908,0.6890416186529156,True,0,,,False,0,,,False
8,100,0.14922217585922962,0.6875908581054132,True,0,,,False,0,,,False
9,100,0.0851853267580827,0.683422479840807,True,0,,,False,0,,,False
10,100,0.20461191988468466,0.7007163766594625,True,0,,,False,0,,,False
11,100,0.1073733063432695,0.6809007508316701,True,0,,,False,0,,,False
12,100,-0.09520181499069787,0.6402158794185432,True,0,,,False,0,,,False
13,100,-0.026863296273704984,0.6416264111457529,True,0,,,False,0,,,False
14,100,-0.15423548389483405,0.6662229048703131,True,0,,,False,0,,,False
15,100,-0.01244125606261468,0.6581928417037778,True,0,,,False,0,,,False
16,100,-0.23973479521743876,0.6796862844492143,True,0,,,False,0,,,False
17,100,-0.11869268969542628,0.6482380946214004,True,0,,,False,0,,,False
18,100,0.007952086620787202,0.6783783791785553,True,0,,,False,0,,,False
19,100,0.0021188932101179757,0.6306591756686685,True,0,,,False,0,,,False
20,100,-0.08420121029765719,0.6513067827745708,True,0,,,False,0,,,False
21,100,0.03504667959004429,0.640907434231392,True,0,,,False,0,,,False
22,100,-0.14256049559280398,0.654448216695042,True,0,,,False,0,,,False
23,100,0.018113080648422954,0.6605742413473106,True,0,,,False,0,,,False
24,100,-0.0003996585188424584,0.6396110340011056,True,0,,,False,0,,,False
25,100,0.07626762346101602,0.6817339134135991,True,0,,,False,0,,,False
26,100,0.06547427235149181,0.6775510733889726,True,0,,,False,0,,,False
27,100,0.0576663566040976,0.6785268415026986,True,0,,,False,0,,,False
28,100,-0.04883414388934401,0.694164830016271,True,0,,,False,0,,,False
29,100,0.04300013754254497,0.6578229867529062,True,0,,,False,0,,,False
30,100,-0.034367477831777495,0.6435015462656446,True,0,,,False,0,,,False
31,100,0.10558079499374838,0.6583734702836167,True,0,,,False,0,,,False
32,100,0.14146486478759024,0.6602012961575234,True,0,,,False,0,,,False
33,100,0.09247553564089378,0.6419624364840026,True,0,,,False,0,,,False
34,100,0.03282239905275421,0.6443490092161503,True,0,,,False,0,,,False
35,100,-0.04008427287380188,0.6412385145838306,True,0,,,False,0,,,False
36,100,-0.0467944963477613,0.6074192914666795,True,0,,,False,0,,,False
37,100,-0.0625140410907116,0.6572967041296717,True,0,,,False,0,,,False
38,100,-0.09877725445811521,0.666249652035408,True,0,,,False,0,,,False
39,100,-0.10191118412052426,0.6386240765127896,True,0,,,False,0,,,False
40,100,-0.011567222152377581,0.6190253229340454,True,0,,,False,0,,,False
41,100,-0.06671721500091904,0.5985826336606243,True,0,,,False,0,,,False
42,100,-0.04822712870200091,0.6645733292033558,True,0,,,False,0,,,False
43,100,-0.06384928514341355,0.5932091402314228,True,0,,,False,0,,,False
44,100,-0.1283781284423939,0.6222228588649432,True,0,,,False,0,,,False
45,100,-0.08741018094223442,0.5562221031740315,True,0,,,False,0,,,False
46,100,-0.2321804890737258,0.6063020787948654,True,0,,,False,0,,,False
47,100,-0.031238521044614026,0.5551543748556746,True,0,,,False,0,,,False
48,100,-0.05494924090986096,0.6064042376493944,True,0,,,False,0,,,False
49,100,-0.028056100738281034,0.5910551368959112,True,0,,,False,0,,,False
50,100,0.007820794870745345,0.5963174861230556,True,0,,,False,0,,,False
51,100,-0.1470945815476676,0.5885673106964149,True,0,,,False,0,,,False
52,100,0.12952636774934934,0.5638608528904241,True,0,,,False,0,,,False
53,100,-0.13827548736729633,0.5889211501793892,True,0,,,False,0,,,False
54,100,0.05121289075290297,0.5363196595796249,True,0,,,False,0,,,False
